10:31:44.684 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5010/1 TermConnRingingEv SEP001B2431F2F6 [#70] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
client 0 : 14|adsf|1004|1003
10:32:26.843 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5010/1 TermConnDroppedEv SEP00E04C55F91C [#109] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.843 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5010/1 ConnDisconnectedEv 1004::1 [#111] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.843 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5010/1 CallObservationEndedEv [#113] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.844 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5010/1 TermConnDroppedEv SEP00E04C55F91C [#109] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.844 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5010/1 ConnDisconnectedEv 1004::1 [#111] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.845 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5010/1 CallObservationEndedEv [#114] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.845 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5010/1 TermConnDroppedEv SEP00E04C55F91C [#109] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.846 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5010/1 ConnDisconnectedEv 1004::1 [#111] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.846 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5010/1 TermConnDroppedEv SEP00E04C55F91C [#109] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.846 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5010/1 ConnDisconnectedEv 1004::1 [#111] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.883 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 CallActiveEv [#119] Cause:106 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.883 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 ConnCreatedEv 1004::1 [#120] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.883 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 ConnConnectedEv 1004::1 [#121] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.883 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 TermConnCreatedEv SEP00E04C55F91C [#123] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
10:32:26.883 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 TermConnActiveEv SEP00E04C55F91C [#124] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.884 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 CallActiveEv [#119] Cause:106 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.884 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 ConnCreatedEv 1004::1 [#120] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.884 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 ConnConnectedEv 1004::1 [#121] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.884 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 TermConnCreatedEv SEP00E04C55F91C [#123] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
10:32:26.885 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 TermConnActiveEv SEP00E04C55F91C [#124] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.898 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5010/1 TermConnDroppedEv SEP001B2431F2F6 [#139] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.898 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5010/1 ConnDisconnectedEv 1003::1 [#141] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.898 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5010/1 CallInvalidEv [#143] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.909 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5010/1 TermConnDroppedEv SEP001B2431F2F6 [#139] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.909 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5010/1 ConnDisconnectedEv 1003::1 [#141] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.909 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5010/1 CallInvalidEv [#143] Cause:100 CallCtlCause:0 CiscoCause:16 FeatReason:12
10:32:26.910 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5010/1 CallObservationEndedEv [#145] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.910 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5010/1 CallObservationEndedEv [#146] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.913 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 CiscoConnectionUniqueIDChangedEv 1004::1 [#147] Cause:100 CallCtlCause:0 CiscoCause:100 FeatReason:1
10:32:26.925 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 CiscoConnectionUniqueIDChangedEv 1004::1 [#147] Cause:100 CallCtlCause:0 CiscoCause:100 FeatReason:1
10:32:26.932 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 ConnCreatedEv 1003::1 [#149] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.932 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 ConnInProgressEv 1003::1 [#150] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
